Nouns DAO Name,Treasury ,,NFT Vault,,FT Vault,,Proposal,,Voter,,Followers,,Status
"Lobby
Protocol DAO","$ 73.5K
0.39% (24H)","$ 73.5K
0.39% (24H) TreasuryLobby
Protocol DAO",N/A,"N/A NFT Vault Lobby
Protocol DAO",$ 73.5K,"$ 73.5K FT Vault Lobby
Protocol DAO",1,1 Proposal,6,6 Voter,1.9K,1.9K Followers,Unverifed
"Moonbirds DAO
Creator DAO","$ 68.9K
0.18% (24H)","$ 68.9K
0.18% (24H) TreasuryMoonbirds DAO
Creator DAO",$28.10,"28.1 NFT Vault Moonbirds DAO
Creator DAO",$ 68.9K,"$ 68.9K FT Vault Moonbirds DAO
Creator DAO",0,0 Proposal,0,0 Voter,209.9K,209.9K Followers,Unverifed
"WoWPixies NFT
Investment DAO","$ 68.2K
0.18% (24H)","$ 68.2K
0.18% (24H) TreasuryWoWPixies NFT
Investment DAO",$ 68.2K,"$ 68.2K NFT Vault WoWPixies NFT
Investment DAO",$46.20,"46.2 FT Vault WoWPixies NFT
Investment DAO",49,49 Proposal,860,860 Voter,18.2K,18.2K Followers,Verifed
"ViktorDAO
Creator DAO","$ 67.0K
0.11% (24H)","$ 67.0K
0.11% (24H) TreasuryViktorDAO
Creator DAO",$ 38.0K,"$ 38.0K NFT Vault ViktorDAO
Creator DAO",$ 29.0K,"$ 29.0K FT Vault ViktorDAO
Creator DAO",0,0 Proposal,0,0 Voter,22.9K,22.9K Followers,Unverifed
"CrunchDAO
Service DAO","$ 65.3K
0.08% (24H)","$ 65.3K
0.08% (24H) TreasuryCrunchDAO
Service DAO",$87.30,"87.3 NFT Vault CrunchDAO
Service DAO",$ 65.2K,"$ 65.2K FT Vault CrunchDAO
Service DAO",15,15 Proposal,141,141 Voter,910,910 Followers,Unverifed
"Unicly
Infrastructure","$ 62.4K
0.17% (24H)","$ 62.4K
0.17% (24H) TreasuryUnicly
Infrastructure",N/A,"N/A NFT Vault Unicly
Infrastructure",$ 62.4K,"$ 62.4K FT Vault Unicly
Infrastructure",36,36 Proposal,124,124 Voter,19.4K,19.4K Followers,Unverifed
"Berezka Dynamic DAO
Protocol DAO","$ 61.7K
-0.01% (24H)","$ 61.7K
-0.01% (24H) TreasuryBerezka Dynamic DAO
Protocol DAO",N/A,"N/A NFT Vault Berezka Dynamic DAO
Protocol DAO",$ 61.7K,"$ 61.7K FT Vault Berezka Dynamic DAO
Protocol DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"NFTX
Infrastructure","$ 61.1K
0.04% (24H)","$ 61.1K
0.04% (24H) TreasuryNFTX
Infrastructure",$77.60,"77.6 NFT Vault NFTX
Infrastructure",$ 61.0K,"$ 61.0K FT Vault NFTX
Infrastructure",58,58 Proposal,492,492 Voter,42.8K,42.8K Followers,Unverifed
"Purple
Creator DAO","$ 59.4K
0.18% (24H)","$ 59.4K
0.18% (24H) TreasuryPurple
Creator DAO",N/A,"N/A NFT Vault Purple
Creator DAO",$ 59.4K,"$ 59.4K FT Vault Purple
Creator DAO",25,25 Proposal,100,100 Voter,N/A,N/A Followers,Unverifed
"Art Haus
Creator DAO","$ 59.1K
0.18% (24H)","$ 59.1K
0.18% (24H) TreasuryArt Haus
Creator DAO",N/A,"N/A NFT Vault Art Haus
Creator DAO",$ 59.1K,"$ 59.1K FT Vault Art Haus
Creator DAO",7,7 Proposal,7,7 Voter,18.2K,18.2K Followers,Unverifed
"JPEGvaultDAO
Collector DAO","$ 53.7K
0.18% (24H)","$ 53.7K
0.18% (24H) TreasuryJPEGvaultDAO
Collector DAO",$ 53.6K,"$ 53.6K NFT Vault JPEGvaultDAO
Collector DAO",$4.40,"4.4 FT Vault JPEGvaultDAO
Collector DAO",0,0 Proposal,0,0 Voter,9.8K,9.8K Followers,Verifed
"Tezos Pepe DAO
Investment DAO","$ 51.9K
-1.04% (24H)","$ 51.9K
-1.04% (24H) TreasuryTezos Pepe DAO
Investment DAO",$32.00,"32 NFT Vault Tezos Pepe DAO
Investment DAO",$ 51.8K,"$ 51.8K FT Vault Tezos Pepe DAO
Investment DAO",0,0 Proposal,0,0 Voter,1.8K,1.8K Followers,Unverifed
"Orange DAO
Investment DAO","$ 47.8K
0.76% (24H)","$ 47.8K
0.76% (24H) TreasuryOrange DAO
Investment DAO",$ 46.1K,"$ 46.1K NFT Vault Orange DAO
Investment DAO",$ 1.8K,"$ 1.8K FT Vault Orange DAO
Investment DAO",0,0 Proposal,0,0 Voter,12.8K,12.8K Followers,Unverifed
"Leviathan Pro
Protocol DAO","$ 46.6K
0.35% (24H)","$ 46.6K
0.35% (24H) TreasuryLeviathan Pro
Protocol DAO",N/A,"N/A NFT Vault Leviathan Pro
Protocol DAO",$ 46.6K,"$ 46.6K FT Vault Leviathan Pro
Protocol DAO",4,4 Proposal,192,192 Voter,N/A,N/A Followers,Unverifed
"PangeaDAO
Investment DAO","$ 46.5K
0.17% (24H)","$ 46.5K
0.17% (24H) TreasuryPangeaDAO
Investment DAO",$ 15.0K,"$ 15.0K NFT Vault PangeaDAO
Investment DAO",$ 31.4K,"$ 31.4K FT Vault PangeaDAO
Investment DAO",0,0 Proposal,0,0 Voter,2.3K,2.3K Followers,Unverifed
"the park dao
Creator DAO","$ 45.1K
0.18% (24H)","$ 45.1K
0.18% (24H) Treasurythe park dao
Creator DAO",$514.00,"514 NFT Vault the park dao
Creator DAO",$ 44.6K,"$ 44.6K FT Vault the park dao
Creator DAO",34,34 Proposal,34,34 Voter,5.9K,5.9K Followers,Unverifed
"0x0DAO
Service DAO","$ 43.9K
-0.03% (24H)","$ 43.9K
-0.03% (24H) Treasury0x0DAO
Service DAO",$ 43.6K,"$ 43.6K NFT Vault 0x0DAO
Service DAO",$266.30,"266.3 FT Vault 0x0DAO
Service DAO",10,10 Proposal,139,139 Voter,3.5K,3.5K Followers,Unverifed
"The Panama DAO
Creator DAO","$ 42.1K
0.18% (24H)","$ 42.1K
0.18% (24H) TreasuryThe Panama DAO
Creator DAO",$106.70,"106.7 NFT Vault The Panama DAO
Creator DAO",$ 42.0K,"$ 42.0K FT Vault The Panama DAO
Creator DAO",4,4 Proposal,3,3 Voter,N/A,N/A Followers,Unverifed
"The Idea Factory
Creator DAO","$ 42.1K
0.18% (24H)","$ 42.1K
0.18% (24H) TreasuryThe Idea Factory
Creator DAO",N/A,"N/A NFT Vault The Idea Factory
Creator DAO",$ 42.1K,"$ 42.1K FT Vault The Idea Factory
Creator DAO",4,4 Proposal,11,11 Voter,N/A,N/A Followers,Unverifed
"CrisisDAO
Collector DAO","$ 40.8K
0.29% (24H)","$ 40.8K
0.29% (24H) TreasuryCrisisDAO
Collector DAO",N/A,"N/A NFT Vault CrisisDAO
Collector DAO",$ 40.8K,"$ 40.8K FT Vault CrisisDAO
Collector DAO",74,74 Proposal,61,61 Voter,404,404 Followers,Unverifed
"blequity
Service DAO","$ 40.7K
0.18% (24H)","$ 40.7K
0.18% (24H) Treasuryblequity
Service DAO",N/A,"N/A NFT Vault blequity
Service DAO",$ 40.7K,"$ 40.7K FT Vault blequity
Service DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"New Order
Investment DAO","$ 40.7K
0.01% (24H)","$ 40.7K
0.01% (24H) TreasuryNew Order
Investment DAO",$38.80,"38.8 NFT Vault New Order
Investment DAO",$ 40.7K,"$ 40.7K FT Vault New Order
Investment DAO",0,0 Proposal,0,0 Voter,17.3K,17.3K Followers,Unverifed
"REXER
Creator DAO","$ 36.9K
0.18% (24H)","$ 36.9K
0.18% (24H) TreasuryREXER
Creator DAO",N/A,"N/A NFT Vault REXER
Creator DAO",$ 36.9K,"$ 36.9K FT Vault REXER
Creator DAO",2,2 Proposal,7,7 Voter,N/A,N/A Followers,Unverifed
"Panda Paradise DAO
Creator DAO","$ 35.3K
0.35% (24H)","$ 35.3K
0.35% (24H) TreasuryPanda Paradise DAO
Creator DAO",$ 35.0K,"$ 35.0K NFT Vault Panda Paradise DAO
Creator DAO",$249.40,"249.4 FT Vault Panda Paradise DAO
Creator DAO",16,16 Proposal,497,497 Voter,6.6K,6.6K Followers,Unverifed
"LeagueDAO
Infrastructure","$ 35.2K
0.00% (24H)","$ 35.2K
0.00% (24H) TreasuryLeagueDAO
Infrastructure",N/A,"N/A NFT Vault LeagueDAO
Infrastructure",$ 35.2K,"$ 35.2K FT Vault LeagueDAO
Infrastructure",4,4 Proposal,53,53 Voter,5.3K,5.3K Followers,Unverifed
"Pangean DAO
Collector DAO","$ 33.7K
1.20% (24H)","$ 33.7K
1.20% (24H) TreasuryPangean DAO
Collector DAO",$ 33.3K,"$ 33.3K NFT Vault Pangean DAO
Collector DAO",$358.00,"358 FT Vault Pangean DAO
Collector DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"Paladins Dao
Creator DAO","$ 32.8K
0.90% (24H)","$ 32.8K
0.90% (24H) TreasuryPaladins Dao
Creator DAO",N/A,"N/A NFT Vault Paladins Dao
Creator DAO",$ 32.8K,"$ 32.8K FT Vault Paladins Dao
Creator DAO",4,4 Proposal,33,33 Voter,570,570 Followers,Unverifed
"Social Nouns
Creator DAO","$ 32.6K
0.18% (24H)","$ 32.6K
0.18% (24H) TreasurySocial Nouns
Creator DAO",$ 2.5K,"$ 2.5K NFT Vault Social Nouns
Creator DAO",$ 30.1K,"$ 30.1K FT Vault Social Nouns
Creator DAO",0,0 Proposal,0,0 Voter,1.1K,1.1K Followers,Verifed
"Femboy DAO
Creator DAO","$ 31.6K
0.15% (24H)","$ 31.6K
0.15% (24H) TreasuryFemboy DAO
Creator DAO",N/A,"N/A NFT Vault Femboy DAO
Creator DAO",$ 31.6K,"$ 31.6K FT Vault Femboy DAO
Creator DAO",10,10 Proposal,50,50 Voter,994,994 Followers,Unverifed
"cadcad
Service DAO","$ 31.4K
0.07% (24H)","$ 31.4K
0.07% (24H) Treasurycadcad
Service DAO",$115.40,"115.4 NFT Vault cadcad
Service DAO",$ 31.3K,"$ 31.3K FT Vault cadcad
Service DAO",0,0 Proposal,0,0 Voter,1.8K,1.8K Followers,Unverifed
"Volume DAO
Collector DAO","$ 31.3K
1.19% (24H)","$ 31.3K
1.19% (24H) TreasuryVolume DAO
Collector DAO",$ 31.3K,"$ 31.3K NFT Vault Volume DAO
Collector DAO",N/A,"N/A FT Vault Volume DAO
Collector DAO",0,0 Proposal,0,0 Voter,744,744 Followers,Verifed
"Trojan DAO
Service DAO","$ 30.2K
0.15% (24H)","$ 30.2K
0.15% (24H) TreasuryTrojan DAO
Service DAO",N/A,"N/A NFT Vault Trojan DAO
Service DAO",$ 30.2K,"$ 30.2K FT Vault Trojan DAO
Service DAO",0,0 Proposal,0,0 Voter,1.7K,1.7K Followers,Unverifed
"Axion
Protocol DAO","$ 27.9K
0.10% (24H)","$ 27.9K
0.10% (24H) TreasuryAxion
Protocol DAO",N/A,"N/A NFT Vault Axion
Protocol DAO",$ 27.9K,"$ 27.9K FT Vault Axion
Protocol DAO",11,11 Proposal,1.7K,1.7K Voter,15.9K,15.9K Followers,Unverifed
"IndiDAO
Service DAO","$ 27.1K
0.45% (24H)","$ 27.1K
0.45% (24H) TreasuryIndiDAO
Service DAO",N/A,"N/A NFT Vault IndiDAO
Service DAO",$ 27.1K,"$ 27.1K FT Vault IndiDAO
Service DAO",0,0 Proposal,0,0 Voter,2.0K,2.0K Followers,Unverifed
"Bankless Consulting
Service DAO","$ 27.0K
0.05% (24H)","$ 27.0K
0.05% (24H) TreasuryBankless Consulting
Service DAO",$48.50,"48.5 NFT Vault Bankless Consulting
Service DAO",$ 26.9K,"$ 26.9K FT Vault Bankless Consulting
Service DAO",0,0 Proposal,0,0 Voter,2.9K,2.9K Followers,Unverifed
"SZNouns DAO
Creator DAO","$ 26.7K
0.18% (24H)","$ 26.7K
0.18% (24H) TreasurySZNouns DAO
Creator DAO",N/A,"N/A NFT Vault SZNouns DAO
Creator DAO",$ 26.7K,"$ 26.7K FT Vault SZNouns DAO
Creator DAO",0,0 Proposal,0,0 Voter,251,251 Followers,Unverifed
"Berezka Flex DAO
Protocol DAO","$ 25.4K
0.36% (24H)","$ 25.4K
0.36% (24H) TreasuryBerezka Flex DAO
Protocol DAO",N/A,"N/A NFT Vault Berezka Flex DAO
Protocol DAO",$ 25.4K,"$ 25.4K FT Vault Berezka Flex DAO
Protocol DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"Floorbirds DAO
Investment DAO","$ 23.6K
0.18% (24H)","$ 23.6K
0.18% (24H) TreasuryFloorbirds DAO
Investment DAO",$ 20.9K,"$ 20.9K NFT Vault Floorbirds DAO
Investment DAO",$ 2.7K,"$ 2.7K FT Vault Floorbirds DAO
Investment DAO",0,0 Proposal,0,0 Voter,266,266 Followers,Unverifed
"BLVKHVND
Creator DAO","$ 22.8K
0.26% (24H)","$ 22.8K
0.26% (24H) TreasuryBLVKHVND
Creator DAO",N/A,"N/A NFT Vault BLVKHVND
Creator DAO",$ 22.8K,"$ 22.8K FT Vault BLVKHVND
Creator DAO",1,1 Proposal,34,34 Voter,5.4K,5.4K Followers,Unverifed
"Meta Gamma Delta
Service DAO","$ 22.1K
-0.00% (24H)","$ 22.1K
-0.00% (24H) TreasuryMeta Gamma Delta
Service DAO",N/A,"N/A NFT Vault Meta Gamma Delta
Service DAO",$ 22.1K,"$ 22.1K FT Vault Meta Gamma Delta
Service DAO",0,0 Proposal,0,0 Voter,3.6K,3.6K Followers,Unverifed
"Berezka Emiflex DAO
Protocol DAO","$ 21.2K
0.14% (24H)","$ 21.2K
0.14% (24H) TreasuryBerezka Emiflex DAO
Protocol DAO",$56.30,"56.3 NFT Vault Berezka Emiflex DAO
Protocol DAO",$ 21.2K,"$ 21.2K FT Vault Berezka Emiflex DAO
Protocol DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"Luchadores.io
Protocol DAO","$ 20.1K
0.24% (24H)","$ 20.1K
0.24% (24H) TreasuryLuchadores.io
Protocol DAO",N/A,"N/A NFT Vault Luchadores.io
Protocol DAO",$ 20.1K,"$ 20.1K FT Vault Luchadores.io
Protocol DAO",5,5 Proposal,238,238 Voter,6.2K,6.2K Followers,Unverifed
"1HiveLLC
Service DAO","$ 19.6K
0.03% (24H)","$ 19.6K
0.03% (24H) Treasury1HiveLLC
Service DAO",N/A,"N/A NFT Vault 1HiveLLC
Service DAO",$ 19.6K,"$ 19.6K FT Vault 1HiveLLC
Service DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"Headline
Creator DAO","$ 19.5K
0.18% (24H)","$ 19.5K
0.18% (24H) TreasuryHeadline
Creator DAO",N/A,"N/A NFT Vault Headline
Creator DAO",$ 19.5K,"$ 19.5K FT Vault Headline
Creator DAO",7,7 Proposal,11,11 Voter,268,268 Followers,Unverifed
"Ricochet
Infrastructure","$ 18.8K
0.29% (24H)","$ 18.8K
0.29% (24H) TreasuryRicochet
Infrastructure",$776.10,"776.1 NFT Vault Ricochet
Infrastructure",$ 18.1K,"$ 18.1K FT Vault Ricochet
Infrastructure",72,72 Proposal,225,225 Voter,2.1K,2.1K Followers,Unverifed
"Aggregated Finance
Investment DAO","$ 18.7K
0.38% (24H)","$ 18.7K
0.38% (24H) TreasuryAggregated Finance
Investment DAO",N/A,"N/A NFT Vault Aggregated Finance
Investment DAO",$ 18.7K,"$ 18.7K FT Vault Aggregated Finance
Investment DAO",18,18 Proposal,40,40 Voter,3.5K,3.5K Followers,Unverifed
"Santa Fe DAO
Creator DAO","$ 18.4K
0.18% (24H)","$ 18.4K
0.18% (24H) TreasurySanta Fe DAO
Creator DAO",N/A,"N/A NFT Vault Santa Fe DAO
Creator DAO",$ 18.4K,"$ 18.4K FT Vault Santa Fe DAO
Creator DAO",3,3 Proposal,11,11 Voter,N/A,N/A Followers,Unverifed
"BIGCAP
Investment DAO","$ 17.2K
0.18% (24H)","$ 17.2K
0.18% (24H) TreasuryBIGCAP
Investment DAO",$194.00,"194 NFT Vault BIGCAP
Investment DAO",$ 17.0K,"$ 17.0K FT Vault BIGCAP
Investment DAO",0,0 Proposal,0,0 Voter,1.0K,1.0K Followers,Unverifed
"LNRZ
Collector DAO","$ 16.8K
0.18% (24H)","$ 16.8K
0.18% (24H) TreasuryLNRZ
Collector DAO",$ 2.5K,"$ 2.5K NFT Vault LNRZ
Collector DAO",$ 14.3K,"$ 14.3K FT Vault LNRZ
Collector DAO",2,2 Proposal,24,24 Voter,1.7K,1.7K Followers,Unverifed
"Sebuh DAO
Protocol DAO","$ 16.2K
0.07% (24H)","$ 16.2K
0.07% (24H) TreasurySebuh DAO
Protocol DAO",$977.20,"977.2 NFT Vault Sebuh DAO
Protocol DAO",$ 15.2K,"$ 15.2K FT Vault Sebuh DAO
Protocol DAO",0,0 Proposal,0,0 Voter,4.2K,4.2K Followers,Verifed
"TraitWorks
Creator DAO","$ 15.4K
0.18% (24H)","$ 15.4K
0.18% (24H) TreasuryTraitWorks
Creator DAO",N/A,"N/A NFT Vault TraitWorks
Creator DAO",$ 15.4K,"$ 15.4K FT Vault TraitWorks
Creator DAO",7,7 Proposal,9,9 Voter,N/A,N/A Followers,Unverifed
"DOS Punks DAO
Collector DAO","$ 15.3K
1.04% (24H)","$ 15.3K
1.04% (24H) TreasuryDOS Punks DAO
Collector DAO",$ 15.0K,"$ 15.0K NFT Vault DOS Punks DAO
Collector DAO",$282.90,"282.9 FT Vault DOS Punks DAO
Collector DAO",0,0 Proposal,0,0 Voter,934,934 Followers,Unverifed
"PoohCrew
Creator DAO","$ 15.1K
0.17% (24H)","$ 15.1K
0.17% (24H) TreasuryPoohCrew
Creator DAO",N/A,"N/A NFT Vault PoohCrew
Creator DAO",$ 15.1K,"$ 15.1K FT Vault PoohCrew
Creator DAO",6,6 Proposal,8,8 Voter,20.9K,20.9K Followers,Unverifed
"PandaDAO
Creator DAO","$ 14.6K
0.14% (24H)","$ 14.6K
0.14% (24H) TreasuryPandaDAO
Creator DAO",N/A,"N/A NFT Vault PandaDAO
Creator DAO",$ 14.6K,"$ 14.6K FT Vault PandaDAO
Creator DAO",18,18 Proposal,813,813 Voter,26.4K,26.4K Followers,Verifed
"PeopleDAO
Service DAO","$ 14.6K
0.03% (24H)","$ 14.6K
0.03% (24H) TreasuryPeopleDAO
Service DAO",$ 2.7K,"$ 2.7K NFT Vault PeopleDAO
Service DAO",$ 11.8K,"$ 11.8K FT Vault PeopleDAO
Service DAO",50,50 Proposal,2.7K,2.7K Voter,41.7K,41.7K Followers,Unverifed
"Melos Studio DAO
Infrastructure","$ 14.3K
0.01% (24H)","$ 14.3K
0.01% (24H) TreasuryMelos Studio DAO
Infrastructure",N/A,"N/A NFT Vault Melos Studio DAO
Infrastructure",$ 14.3K,"$ 14.3K FT Vault Melos Studio DAO
Infrastructure",0,0 Proposal,0,0 Voter,141.3K,141.3K Followers,Unverifed
"Tiger VC DAO
Investment DAO","$ 14.1K
0.08% (24H)","$ 14.1K
0.08% (24H) TreasuryTiger VC DAO
Investment DAO",N/A,"N/A NFT Vault Tiger VC DAO
Investment DAO",$ 14.1K,"$ 14.1K FT Vault Tiger VC DAO
Investment DAO",37,37 Proposal,113,113 Voter,5.2K,5.2K Followers,Verifed
DeSci DAO Name,Treasury,Treasury TreasuryDeSci DAO Name,NFT Vault,NFT Vault NFT Vault DeSci DAO Name,FT Vault,FT Vault FT Vault DeSci DAO Name,Proposal,Proposal Proposal,Voter,Voter Voter,Followers,Followers Followers,Status
"ResearchHub
Service DAO","$ 16.3M
0.11% (24H)","$ 16.3M
0.11% (24H) TreasuryResearchHub
Service DAO",$145.50,"145.5 NFT Vault ResearchHub
Service DAO",$ 16.3M,"$ 16.3M FT Vault ResearchHub
Service DAO",14,14 Proposal,50,50 Voter,5.1K,5.1K Followers,Unverifed
"Vita DAO 
Service DAO","$ 2.2M
0.09% (24H)","$ 2.2M
0.09% (24H) TreasuryVita DAO 
Service DAO",$95.10,"95.1 NFT Vault Vita DAO 
Service DAO",$ 2.2M,"$ 2.2M FT Vault Vita DAO 
Service DAO",79,79 Proposal,327,327 Voter,19.0K,19.0K Followers,Unverifed
"MoonDAO
Investment DAO","$ 2.0M
0.15% (24H)","$ 2.0M
0.15% (24H) TreasuryMoonDAO
Investment DAO",$232.80,"232.8 NFT Vault MoonDAO
Investment DAO",$ 2.0M,"$ 2.0M FT Vault MoonDAO
Investment DAO",97,97 Proposal,2.6K,2.6K Voter,43.2K,43.2K Followers,Verifed
"GenomesDAO
Service DAO","$ 376.8K
0.07% (24H)","$ 376.8K
0.07% (24H) TreasuryGenomesDAO
Service DAO",$ 103.1K,"$ 103.1K NFT Vault GenomesDAO
Service DAO",$ 273.7K,"$ 273.7K FT Vault GenomesDAO
Service DAO",11,11 Proposal,54,54 Voter,10.6K,10.6K Followers,Unverifed
"CrunchDAO
Service DAO","$ 65.2K
0.03% (24H)","$ 65.2K
0.03% (24H) TreasuryCrunchDAO
Service DAO",$87.30,"87.3 NFT Vault CrunchDAO
Service DAO",$ 65.2K,"$ 65.2K FT Vault CrunchDAO
Service DAO",15,15 Proposal,141,141 Voter,910,910 Followers,Unverifed
"AntidoteDAO
Service DAO","$ 783.7
0.06% (24H)","$ 783.7
0.06% (24H) TreasuryAntidoteDAO
Service DAO",$60.30,"60.3 NFT Vault AntidoteDAO
Service DAO",$723.40,"723.4 FT Vault AntidoteDAO
Service DAO",1,1 Proposal,1,1 Voter,6.7K,6.7K Followers,Unverifed
"FrontierDAO
Infrastructure","$ 769.2
0.16% (24H)","$ 769.2
0.16% (24H) TreasuryFrontierDAO
Infrastructure",$481.70,"481.7 NFT Vault FrontierDAO
Infrastructure",$287.50,"287.5 FT Vault FrontierDAO
Infrastructure",0,0 Proposal,0,0 Voter,4.5K,4.5K Followers,Unverifed
"New Atlantis DAO
Service DAO","$ 729.6
0.02% (24H)","$ 729.6
0.02% (24H) TreasuryNew Atlantis DAO
Service DAO",N/A,"N/A NFT Vault New Atlantis DAO
Service DAO",$729.60,"729.6 FT Vault New Atlantis DAO
Service DAO",0,0 Proposal,0,0 Voter,2.2K,2.2K Followers,Unverifed
"LabDAO
Protocol DAO","$ 719.8
0.17% (24H)","$ 719.8
0.17% (24H) TreasuryLabDAO
Protocol DAO",$106.70,"106.7 NFT Vault LabDAO
Protocol DAO",$613.10,"613.1 FT Vault LabDAO
Protocol DAO",0,0 Proposal,0,0 Voter,5.4K,5.4K Followers,Unverifed
"MedDAO
Service DAO","$ 121.9
0.17% (24H)","$ 121.9
0.17% (24H) TreasuryMedDAO
Service DAO",$115.40,"115.4 NFT Vault MedDAO
Service DAO",$6.40,"6.4 FT Vault MedDAO
Service DAO",4,4 Proposal,7,7 Voter,534,534 Followers,Unverifed
"Innovative Bioresearch
Service DAO","$ 60.5
0.28% (24H)","$ 60.5
0.28% (24H) TreasuryInnovative Bioresearch
Service DAO",N/A,"N/A NFT Vault Innovative Bioresearch
Service DAO",$60.50,"60.5 FT Vault Innovative Bioresearch
Service DAO",0,0 Proposal,0,0 Voter,20.1K,20.1K Followers,Verifed
"NineLivesDAO
Service DAO","$ 11.0
0.13% (24H)","$ 11.0
0.13% (24H) TreasuryNineLivesDAO
Service DAO",N/A,"N/A NFT Vault NineLivesDAO
Service DAO",$11.00,"11 FT Vault NineLivesDAO
Service DAO",0,0 Proposal,0,0 Voter,35,35 Followers,Unverifed
"AthenaDAO
Service DAO",N/A,"N/A TreasuryAthenaDAO
Service DAO",N/A,"N/A NFT Vault AthenaDAO
Service DAO",N/A,"N/A FT Vault AthenaDAO
Service DAO",0,0 Proposal,0,0 Voter,1.8K,1.8K Followers,Unverifed
"BioDAO
Service DAO",N/A,"N/A TreasuryBioDAO
Service DAO",N/A,"N/A NFT Vault BioDAO
Service DAO",N/A,"N/A FT Vault BioDAO
Service DAO",0,0 Proposal,0,0 Voter,944,944 Followers,Unverifed
"Cryo DAO
Service DAO",N/A,"N/A TreasuryCryo DAO
Service DAO",N/A,"N/A NFT Vault Cryo DAO
Service DAO",N/A,"N/A FT Vault Cryo DAO
Service DAO",0,0 Proposal,0,0 Voter,347,347 Followers,Unverifed
"Science DAO
Service DAO",N/A,"N/A TreasuryScience DAO
Service DAO",N/A,"N/A NFT Vault Science DAO
Service DAO",N/A,"N/A FT Vault Science DAO
Service DAO",0,0 Proposal,0,0 Voter,2.0K,2.0K Followers,Unverifed
"Future Foods DAO
Service DAO",N/A,"N/A TreasuryFuture Foods DAO
Service DAO",N/A,"N/A NFT Vault Future Foods DAO
Service DAO",N/A,"N/A FT Vault Future Foods DAO
Service DAO",0,0 Proposal,0,0 Voter,94,94 Followers,Unverifed
"Longevity DAO
Creator DAO",N/A,"N/A TreasuryLongevity DAO
Creator DAO",N/A,"N/A NFT Vault Longevity DAO
Creator DAO",N/A,"N/A FT Vault Longevity DAO
Creator DAO",0,0 Proposal,0,0 Voter,2.1K,2.1K Followers,Unverifed
"DeNature DAO
Service DAO",N/A,"N/A TreasuryDeNature DAO
Service DAO",N/A,"N/A NFT Vault DeNature DAO
Service DAO",N/A,"N/A FT Vault DeNature DAO
Service DAO",0,0 Proposal,0,0 Voter,161,161 Followers,Unverifed
"CRISPR DAO
Service DAO",N/A,"N/A TreasuryCRISPR DAO
Service DAO",N/A,"N/A NFT Vault CRISPR DAO
Service DAO",N/A,"N/A FT Vault CRISPR DAO
Service DAO",0,0 Proposal,0,0 Voter,794,794 Followers,Unverifed
"Cherubs DAO
Service DAO",N/A,"N/A TreasuryCherubs DAO
Service DAO",N/A,"N/A NFT Vault Cherubs DAO
Service DAO",N/A,"N/A FT Vault Cherubs DAO
Service DAO",0,0 Proposal,0,0 Voter,161,161 Followers,Unverifed
"Molecule DAO
Protocol DAO",N/A,"N/A TreasuryMolecule DAO
Protocol DAO",N/A,"N/A NFT Vault Molecule DAO
Protocol DAO",N/A,"N/A FT Vault Molecule DAO
Protocol DAO",0,0 Proposal,0,0 Voter,9.7K,9.7K Followers,Verifed
"Bio.xyz 
Service DAO",N/A,"N/A TreasuryBio.xyz 
Service DAO",N/A,"N/A NFT Vault Bio.xyz 
Service DAO",N/A,"N/A FT Vault Bio.xyz 
Service DAO",0,0 Proposal,0,0 Voter,1.7K,1.7K Followers,Unverifed
"ReputableDAO
Service DAO",N/A,"N/A TreasuryReputableDAO
Service DAO",N/A,"N/A NFT Vault ReputableDAO
Service DAO",N/A,"N/A FT Vault ReputableDAO
Service DAO",10,10 Proposal,5,5 Voter,1.2K,1.2K Followers,Unverifed
"ValleyDAO
Grant DAO",N/A,"N/A TreasuryValleyDAO
Grant DAO",N/A,"N/A NFT Vault ValleyDAO
Grant DAO",N/A,"N/A FT Vault ValleyDAO
Grant DAO",0,0 Proposal,0,0 Voter,1.5K,1.5K Followers,Verifed
"CannabisGenomeDAO
Infrastructure",N/A,"N/A TreasuryCannabisGenomeDAO
Infrastructure",N/A,"N/A NFT Vault CannabisGenomeDAO
Infrastructure",N/A,"N/A FT Vault CannabisGenomeDAO
Infrastructure",0,0 Proposal,0,0 Voter,565,565 Followers,Unverifed
"TalentDAO
Service DAO",N/A,"N/A TreasuryTalentDAO
Service DAO",N/A,"N/A NFT Vault TalentDAO
Service DAO",N/A,"N/A FT Vault TalentDAO
Service DAO",0,0 Proposal,0,0 Voter,2.7K,2.7K Followers,Unverifed
"NeuraDAO
Infrastructure",N/A,"N/A TreasuryNeuraDAO
Infrastructure",N/A,"N/A NFT Vault NeuraDAO
Infrastructure",N/A,"N/A FT Vault NeuraDAO
Infrastructure",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
