Nouns DAO Name,Treasury ,,NFT Vault,,FT Vault,,Proposal,,Voter,,Followers,,Status
"CREATIVE Kidz
Creator DAO","$ 85.0
0.18% (24H)","$ 85.0
0.18% (24H) TreasuryCREATIVE Kidz
Creator DAO",N/A,"N/A NFT Vault CREATIVE Kidz
Creator DAO",$85.00,"85 FT Vault CREATIVE Kidz
Creator DAO",2,2 Proposal,2,2 Voter,N/A,N/A Followers,Unverifed
"Roy Biv
Infrastructure","$ 69.8
0.18% (24H)","$ 69.8
0.18% (24H) TreasuryRoy Biv
Infrastructure",N/A,"N/A NFT Vault Roy Biv
Infrastructure",$69.80,"69.8 FT Vault Roy Biv
Infrastructure",0,0 Proposal,0,0 Voter,1.0K,1.0K Followers,Unverifed
"FamilyNounsDAO
Creator DAO","$ 57.3
0.18% (24H)","$ 57.3
0.18% (24H) TreasuryFamilyNounsDAO
Creator DAO",N/A,"N/A NFT Vault FamilyNounsDAO
Creator DAO",$57.30,"57.3 FT Vault FamilyNounsDAO
Creator DAO",0,0 Proposal,0,0 Voter,5,5 Followers,Unverifed
"MATH DAO
Creator DAO","$ 50.4
0.18% (24H)","$ 50.4
0.18% (24H) TreasuryMATH DAO
Creator DAO",N/A,"N/A NFT Vault MATH DAO
Creator DAO",$50.40,"50.4 FT Vault MATH DAO
Creator DAO",0,0 Proposal,0,0 Voter,6.1K,6.1K Followers,Unverifed
"CHECKED DAO
Creator DAO","$ 45.2
0.18% (24H)","$ 45.2
0.18% (24H) TreasuryCHECKED DAO
Creator DAO",N/A,"N/A NFT Vault CHECKED DAO
Creator DAO",$45.20,"45.2 FT Vault CHECKED DAO
Creator DAO",3,3 Proposal,9,9 Voter,N/A,N/A Followers,Unverifed
"DegenEye
Creator DAO","$ 38.8
0.18% (24H)","$ 38.8
0.18% (24H) TreasuryDegenEye
Creator DAO",N/A,"N/A NFT Vault DegenEye
Creator DAO",$38.80,"38.8 FT Vault DegenEye
Creator DAO",0,0 Proposal,0,0 Voter,8,8 Followers,Unverifed
"urumqi middle road
Creator DAO","$ 36.9
0.18% (24H)","$ 36.9
0.18% (24H) Treasuryurumqi middle road
Creator DAO",N/A,"N/A NFT Vault urumqi middle road
Creator DAO",$36.90,"36.9 FT Vault urumqi middle road
Creator DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"Spores
Creator DAO","$ 34.4
0.18% (24H)","$ 34.4
0.18% (24H) TreasurySpores
Creator DAO",N/A,"N/A NFT Vault Spores
Creator DAO",$34.40,"34.4 FT Vault Spores
Creator DAO",16,16 Proposal,12,12 Voter,N/A,N/A Followers,Unverifed
"Nounbers
Creator DAO","$ 32.0
0.18% (24H)","$ 32.0
0.18% (24H) TreasuryNounbers
Creator DAO",N/A,"N/A NFT Vault Nounbers
Creator DAO",$32.00,"32 FT Vault Nounbers
Creator DAO",2,2 Proposal,1,1 Voter,2.2M,2.2M Followers,Unverifed
"256 DAO
Creator DAO","$ 29.1
0.18% (24H)","$ 29.1
0.18% (24H) Treasury256 DAO
Creator DAO",N/A,"N/A NFT Vault 256 DAO
Creator DAO",$29.10,"29.1 FT Vault 256 DAO
Creator DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"Rare Disc
Creator DAO","$ 23.3
0.18% (24H)","$ 23.3
0.18% (24H) TreasuryRare Disc
Creator DAO",N/A,"N/A NFT Vault Rare Disc
Creator DAO",$23.30,"23.3 FT Vault Rare Disc
Creator DAO",1,1 Proposal,1,1 Voter,279,279 Followers,Unverifed
"Art Nouns
Creator DAO","$ 19.4
0.18% (24H)","$ 19.4
0.18% (24H) TreasuryArt Nouns
Creator DAO",N/A,"N/A NFT Vault Art Nouns
Creator DAO",$19.40,"19.4 FT Vault Art Nouns
Creator DAO",0,0 Proposal,0,0 Voter,132,132 Followers,Unverifed
"Punkcoin DAO
Creator DAO","$ 19.4
0.18% (24H)","$ 19.4
0.18% (24H) TreasuryPunkcoin DAO
Creator DAO",N/A,"N/A NFT Vault Punkcoin DAO
Creator DAO",$19.40,"19.4 FT Vault Punkcoin DAO
Creator DAO",0,0 Proposal,0,0 Voter,240,240 Followers,Unverifed
"Gifter
Creator DAO","$ 9.7
0.18% (24H)","$ 9.7
0.18% (24H) TreasuryGifter
Creator DAO",N/A,"N/A NFT Vault Gifter
Creator DAO",$9.70,"9.7 FT Vault Gifter
Creator DAO",0,0 Proposal,0,0 Voter,12,12 Followers,Unverifed
"alebrijes
Creator DAO","$ 8.3
0.18% (24H)","$ 8.3
0.18% (24H) Treasuryalebrijes
Creator DAO",N/A,"N/A NFT Vault alebrijes
Creator DAO",$8.30,"8.3 FT Vault alebrijes
Creator DAO",3,3 Proposal,5,5 Voter,N/A,N/A Followers,Unverifed
